"DEPARTAMENTO_PRESTACION","MUNICIPIO_PRESTACION","SERVICIO","ESTADO","NOMBRE","NIT","DEPARTAMENTO_DOMICILIO","MUNICIPIO_DOMICILIO","DIRECCION","TELEFONO","EMAIL","TIPO_INSCRIPCION","REPRESENTANTE_LEGAL","TIPO_PRESTADOR","CLASIFICACION"
"META","LA MACARENA","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","MAPIRIPAN","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","PUERTO CONCORDIA","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","PUERTO LLERAS","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","PUERTO RICO","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","SAN CARLOS DE GUAROA","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","SAN JUAN DE ARAMA","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","URIBE","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","CABUYARO","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","CUMARAL","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","EL DORADO","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","FUENTE DE ORO","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","LA MACARENA","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","MAPIRIPAN","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","PUERTO CONCORDIA","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","PUERTO LLERAS","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","PUERTO RICO","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
,,"Inscripción Oficio Delegada AAA",,"JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL EL TAMBOR","-","VALLE DEL CAUCA","VIJES","Corregimiento El Tambor",,,"Registro por oficio","JOSE LEOVIGILDO GAVIRIA",,
"META","SAN CARLOS DE GUAROA","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","SAN JUAN DE ARAMA","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"META","URIBE","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DEL META S.A. E.S.P.","822006587-0","META","VILLAVICENCIO","Diagonal 19 Transversal 23 - 02 Barrio el Nogal","6726764","edesa@edesaesp.com.co","Registro por la ESP","AURA CRISTINA FLOREZ MEDINA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"ANTIOQUIA","RIONEGRO","ACUEDUCTO","OPERATIVA","ASOCIACION DE USUARIOS DEL ACUEDUCTO DE PONTEZUELA","811018512-0","ANTIOQUIA","RIONEGRO","VEREDA PONTEZUELA","5630784","auapontezuela@gmail.com","Registro por la ESP","JORGE ALONSO TURBAY CEBALLOS","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
,,"Inscripción Oficio Delegada AAA",,"COOPSERVIR LTDA. E.S.P.","814005105-0","NARINO","NARINO","Cra.4 No 4 09 centro",,,"Registro por oficio","REPRESENTANTE LEGAL",,
"ANTIOQUIA","OLAYA","ACUEDUCTO","OPERATIVA","UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS MUNICIPIO DE OLAYA - ANTIOQUIA","890984161-9","ANTIOQUIA","OLAYA","calle 10 N 10 - 40","8550007","julianhenao91@gmail.com","Registro por la ESP","JOSE HUMBERTO CARDONA GONZALEZ","MUNICIPIO (PRESTACIÓN DIRECTA)","MENOR O IGUAL A 2500 USUARIOS"
"ANTIOQUIA","OLAYA","ALCANTARILLADO","OPERATIVA","UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS MUNICIPIO DE OLAYA - ANTIOQUIA","890984161-9","ANTIOQUIA","OLAYA","calle 10 N 10 - 40","8550007","julianhenao91@gmail.com","Registro por la ESP","JOSE HUMBERTO CARDONA GONZALEZ","MUNICIPIO (PRESTACIÓN DIRECTA)","MENOR O IGUAL A 2500 USUARIOS"
"ANTIOQUIA","OLAYA","ASEO","OPERATIVA","UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS MUNICIPIO DE OLAYA - ANTIOQUIA","890984161-9","ANTIOQUIA","OLAYA","calle 10 N 10 - 40","8550007","julianhenao91@gmail.com","Registro por la ESP","JOSE HUMBERTO CARDONA GONZALEZ","MUNICIPIO (PRESTACIÓN DIRECTA)","MENOR O IGUAL A 2500 USUARIOS"
"MAGDALENA","EL RETEN","ACUEDUCTO","OPERATIVA","ALCALDIA MUNICIPAL DE EL RETEN","819000925-9","MAGDALENA","EL RETEN","CARRERA 5 #4 - 32","5393934","asesoriasyconsultoriasaaa@hotmail.com","Registro por la ESP","JORGE ELIECER SERRANO CASALINS","MUNICIPIO (PRESTACIÓN DIRECTA)","HASTA 2500 SUSCRIPTORES"
"MAGDALENA","EL RETEN","ASEO","OPERATIVA","ALCALDIA MUNICIPAL DE EL RETEN","819000925-9","MAGDALENA","EL RETEN","CARRERA 5 #4 - 32","5393934","asesoriasyconsultoriasaaa@hotmail.com","Registro por la ESP","JORGE ELIECER SERRANO CASALINS","MUNICIPIO (PRESTACIÓN DIRECTA)","HASTA 2500 SUSCRIPTORES"
"CALDAS","MARMATO","ACUEDUCTO","CANCELACION","MUNICIPIO DE MARMATO","890801145-6","CALDAS","MARMATO","Sector El Atrio casa redonda","8598170","desarrolloeconomico@marmato-caldas.gov.co","Registro por la ESP","JULIO VARGAS CHICA",,
"CALDAS","MARMATO","ALCANTARILLADO","CANCELACION","MUNICIPIO DE MARMATO","890801145-6","CALDAS","MARMATO","Sector El Atrio casa redonda","8598170","desarrolloeconomico@marmato-caldas.gov.co","Registro por la ESP","JULIO VARGAS CHICA",,
"CALDAS","MARMATO","ASEO","CANCELACION","MUNICIPIO DE MARMATO","890801145-6","CALDAS","MARMATO","Sector El Atrio casa redonda","8598170","desarrolloeconomico@marmato-caldas.gov.co","Registro por la ESP","JULIO VARGAS CHICA",,
"NORTE DE SANTANDER","RAGONVALIA","ACUEDUCTO","OPERATIVA","UNIDAD DE SERVICIOS PUBLICOS DEL MUNICIPIO DE RAGONVALIA","800099251-1","NORTE DE SANTANDER","RAGONVALIA","CALLE 6 N° 2 -32","5869047","alcaldia@ragonvalia-nortedesantander.gov.co","Registro por la ESP","WILMER ALEXANDER RODRIGUEZ JAIMES","MUNICIPIO (PRESTACIÓN DIRECTA)","MENOR O IGUAL A 2500 USUARIOS"
"NORTE DE SANTANDER","RAGONVALIA","ALCANTARILLADO","OPERATIVA","UNIDAD DE SERVICIOS PUBLICOS DEL MUNICIPIO DE RAGONVALIA","800099251-1","NORTE DE SANTANDER","RAGONVALIA","CALLE 6 N° 2 -32","5869047","alcaldia@ragonvalia-nortedesantander.gov.co","Registro por la ESP","WILMER ALEXANDER RODRIGUEZ JAIMES","MUNICIPIO (PRESTACIÓN DIRECTA)","MENOR O IGUAL A 2500 USUARIOS"
"NORTE DE SANTANDER","RAGONVALIA","ASEO","OPERATIVA","UNIDAD DE SERVICIOS PUBLICOS DEL MUNICIPIO DE RAGONVALIA","800099251-1","NORTE DE SANTANDER","RAGONVALIA","CALLE 6 N° 2 -32","5869047","alcaldia@ragonvalia-nortedesantander.gov.co","Registro por la ESP","WILMER ALEXANDER RODRIGUEZ JAIMES","MUNICIPIO (PRESTACIÓN DIRECTA)","MENOR O IGUAL A 2500 USUARIOS"
,,"Inscripción Oficio Delegada AAA",,"FRISAN","811044970-0","CAUCA","SANTANDER DE QUILICHAO","CALLE 6 NO 12 - 86",,,"Registro por oficio","REPRESENTANTE LEGAL",,
"CORDOBA","CERETE","ACUEDUCTO","OPERATIVA","UNIAGUAS S.A. E.S.P.","830139722-9","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","CIENAGA DE ORO","ACUEDUCTO","OPERATIVA","UNIAGUAS S.A. E.S.P.","830139722-9","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","SAHAGUN","ACUEDUCTO","OPERATIVA","UNIAGUAS S.A. E.S.P.","830139722-9","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","SAN CARLOS","ACUEDUCTO","OPERATIVA","UNIAGUAS S.A. E.S.P.","830139722-9","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","CERETE","ALCANTARILLADO","OPERATIVA","UNIAGUAS S.A. E.S.P.","830139722-9","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","CIENAGA DE ORO","ALCANTARILLADO","OPERATIVA","UNIAGUAS S.A. E.S.P.","830139722-9","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
,,"Inscripción Oficio Delegada AAA",,"Asociación de usuarios del acueducto el Madero","811040028-9","ANTIOQUIA","SANTA FE DE ANTIOQUIA","Alcaldía de santa Fe de Antioquia",,,"Registro por oficio","REPRESENTANTE LEGAL",,
"CORDOBA","SAHAGUN","ALCANTARILLADO","OPERATIVA","UNIAGUAS S.A. E.S.P.","830139722-9","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","SAN CARLOS","ALCANTARILLADO","OPERATIVA","UNIAGUAS S.A. E.S.P.","830139722-9","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
,,"Inscripción Oficio Delegada AAA",,"ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDAL LA EMPALIZADA","811044290-0","ANTIOQUIA","SAN PEDRO DE LOS MILAGROS","PALACIO MUNICIPAL",,,"Registro por oficio","REPRESENTANTE LEGAL",,
,,"ENERGIA ELECTRICA","OPERATIVA","TERMOYOPAL GENERACION 2 S.A.S. E.S.P.","830129277-1","BOGOTA, D.C.","BOGOTA, D.C.","CRA 14 # 93B-32 OF 204","5188427","info@termoyopal.com.co","Registro por la ESP","LUIS ALBERTO PAEZ FLORIDO","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","SISTEMA INTERCONECTADO NACIONAL"
"LA GUAJIRA","MANAURE","ACUEDUCTO","OPERATIVA","EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE MANAURE E.S.P.","825000869-6","LA GUAJIRA","MANAURE","CALLE 2 No.11-98","7178025","conascolasociados@outlook.com","Registro por la ESP","ALBERTO MANUEL ARIAS DE LUQUE","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","DESDE 2501 HASTA 5000 USUARIOS"
"LA GUAJIRA","MANAURE","ALCANTARILLADO","OPERATIVA","EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE MANAURE E.S.P.","825000869-6","LA GUAJIRA","MANAURE","CALLE 2 No.11-98","7178025","conascolasociados@outlook.com","Registro por la ESP","ALBERTO MANUEL ARIAS DE LUQUE","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","DESDE 2501 HASTA 5000 USUARIOS"
"LA GUAJIRA","MANAURE","ASEO","OPERATIVA","EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE MANAURE E.S.P.","825000869-6","LA GUAJIRA","MANAURE","CALLE 2 No.11-98","7178025","conascolasociados@outlook.com","Registro por la ESP","ALBERTO MANUEL ARIAS DE LUQUE","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","DESDE 2501 HASTA 5000 USUARIOS"
"ANTIOQUIA","NARINO","ACUEDUCTO","CANCELACION","UNIDAD DE SERVICIOS PUBLICOS NARIÑO ANTIOQUIA","890982566-9","ANTIOQUIA","NARINO","CALLE 10 # 10-17","8680179","espdenarino@gmail.com","Registro por la ESP","CARLOS ARTURO MARIN LONDONO",,
"ANTIOQUIA","NARINO","ALCANTARILLADO","CANCELACION","UNIDAD DE SERVICIOS PUBLICOS NARIÑO ANTIOQUIA","890982566-9","ANTIOQUIA","NARINO","CALLE 10 # 10-17","8680179","espdenarino@gmail.com","Registro por la ESP","CARLOS ARTURO MARIN LONDONO",,
"ANTIOQUIA","NARINO","ASEO","CANCELACION","UNIDAD DE SERVICIOS PUBLICOS NARIÑO ANTIOQUIA","890982566-9","ANTIOQUIA","NARINO","CALLE 10 # 10-17","8680179","espdenarino@gmail.com","Registro por la ESP","CARLOS ARTURO MARIN LONDONO",,
"NARINO","LA CRUZ","ACUEDUCTO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DE LA CRUZ - EMPOCRUZ E.S.P","814005646-3","NARINO","LA CRUZ","Calle 6 No 8-02","7266115","rekineke@gmail.com","Registro por la ESP","RODRIGO HERNAN PALACIOS DELGADO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"NARINO","LA CRUZ","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DE LA CRUZ - EMPOCRUZ E.S.P","814005646-3","NARINO","LA CRUZ","Calle 6 No 8-02","7266115","rekineke@gmail.com","Registro por la ESP","RODRIGO HERNAN PALACIOS DELGADO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"NARINO","LA CRUZ","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PUBLICOS DE LA CRUZ - EMPOCRUZ E.S.P","814005646-3","NARINO","LA CRUZ","Calle 6 No 8-02","7266115","rekineke@gmail.com","Registro por la ESP","RODRIGO HERNAN PALACIOS DELGADO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"CUNDINAMARCA","FUQUENE","ACUEDUCTO","OPERATIVA","JUNTA ADMINISTRADORA ACUEDUCTO EL LITORAL VEREDA CENTRO FUQUENE","832011012-4","CUNDINAMARCA","FUQUENE","cr 2   N 5 - 35","8553119","cielopao1108@hotmail.com","Registro por la ESP","JORGE ENRRIQUE PINILLA","ORGANIZACION AUTORIZADA","HASTA 2500 SUSCRIPTORES"
"VALLE DEL CAUCA","CALI","ACUEDUCTO","OPERATIVA","JUNTA ADMINISTRADORA DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO","805030133-1","VALLE DEL CAUCA","CALI","Cra 43 # 48-102 Ciudad Cordoba","6624124","acuapilas@hotmail.com","Registro por la ESP","OLIVER MOLINA TENORIO","ORGANIZACION AUTORIZADA","HASTA 2500 SUSCRIPTORES"
"BOYACA","BELEN","ACUEDUCTO","OPERATIVA","EMPRESA SOLIDARIA DE SERVICIOS PUBLICOS DE BELEN","826003618-1","BOYACA","BELEN","Carrera  6 No. 7-07","7870468","gerencia.servibelen.esp@hotmail.com","Registro por la ESP","FABIO ALBERTO GOMEZ ULLOA","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","BELEN","ALCANTARILLADO","OPERATIVA","EMPRESA SOLIDARIA DE SERVICIOS PUBLICOS DE BELEN","826003618-1","BOYACA","BELEN","Carrera  6 No. 7-07","7870468","gerencia.servibelen.esp@hotmail.com","Registro por la ESP","FABIO ALBERTO GOMEZ ULLOA","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","BELEN","ASEO","OPERATIVA","EMPRESA SOLIDARIA DE SERVICIOS PUBLICOS DE BELEN","826003618-1","BOYACA","BELEN","Carrera  6 No. 7-07","7870468","gerencia.servibelen.esp@hotmail.com","Registro por la ESP","FABIO ALBERTO GOMEZ ULLOA","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"CUNDINAMARCA","PACHO","ACUEDUCTO","OPERATIVA","ASOCIACION DE USUARIOS DEL ACUEDUCTO  DE LAS VEREDAS DE PAJONALES, LLANO DE LA HACIENDAY LA RAMADA","832003131-9","CUNDINAMARCA","PACHO","CALLE 3B N 39-25 BARRIO VILLA MARIA","8541186","maryaldana14@hotmail.com","Registro por la ESP","JOSE MAURICIO ROMERO  CORREDOR","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"CAUCA","MORALES","ACUEDUCTO","OPERATIVA","APC ACUEDUCTO PIENDAMO MORALES ORGANIZACION AUTORIZADA","817006978-9","CAUCA","PIENDAMO","CRA 4 No.5-130 BARRIO INMACULADA","8250060","acueductoregional@piendamo-cauca.gov.co","Registro por la ESP","JULY ALEXANDRA CAMPO VELASCO","ORGANIZACION AUTORIZADA","DESDE 2501 HASTA 5000 USUARIOS"
"CAUCA","PIENDAMO","ACUEDUCTO","OPERATIVA","APC ACUEDUCTO PIENDAMO MORALES ORGANIZACION AUTORIZADA","817006978-9","CAUCA","PIENDAMO","CRA 4 No.5-130 BARRIO INMACULADA","8250060","acueductoregional@piendamo-cauca.gov.co","Registro por la ESP","JULY ALEXANDRA CAMPO VELASCO","ORGANIZACION AUTORIZADA","DESDE 2501 HASTA 5000 USUARIOS"
"ANTIOQUIA","RETIRO","ACUEDUCTO","OPERATIVA","CORPORACION USUARIOS DEL  ACUEDUCTO CARRIZALES  PARTE  ALTA","811042098-3","ANTIOQUIA","RETIRO","vereda  carrizales","3576807","verajaime707@gmail.com","Registro por la ESP","ANGEL JOSE SILVA PINEDA","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"CAUCA","CAJIBIO","ACUEDUCTO","OPERATIVA","OFICINA DE  ACUEDUCTO, ALCANTARILLADO Y ASEO DEL MUNICIPIO DE CAJIBIO CAUCA","891500864-5","CAUCA","CAJIBIO","CALLE 5 No 1-34/38","8490109","tesoreriacajibio@yahoo.es","Registro por la ESP","JUAN MANUEL JARAMILLO HURTADO","MUNICIPIO (PRESTACIÓN DIRECTA)","HASTA 2500 SUSCRIPTORES"
"CAUCA","CAJIBIO","ALCANTARILLADO","OPERATIVA","OFICINA DE  ACUEDUCTO, ALCANTARILLADO Y ASEO DEL MUNICIPIO DE CAJIBIO CAUCA","891500864-5","CAUCA","CAJIBIO","CALLE 5 No 1-34/38","8490109","tesoreriacajibio@yahoo.es","Registro por la ESP","JUAN MANUEL JARAMILLO HURTADO","MUNICIPIO (PRESTACIÓN DIRECTA)","HASTA 2500 SUSCRIPTORES"
"CAUCA","CAJIBIO","ASEO","OPERATIVA","OFICINA DE  ACUEDUCTO, ALCANTARILLADO Y ASEO DEL MUNICIPIO DE CAJIBIO CAUCA","891500864-5","CAUCA","CAJIBIO","CALLE 5 No 1-34/38","8490109","tesoreriacajibio@yahoo.es","Registro por la ESP","JUAN MANUEL JARAMILLO HURTADO","MUNICIPIO (PRESTACIÓN DIRECTA)","HASTA 2500 SUSCRIPTORES"
"SANTANDER","BUCARAMANGA","ASEO","OPERATIVA","COOPERATIVA DE TRABAJO ASOCIADO, RECICLAJE Y SERVICIOS, COOPRESER","800013252-8","SANTANDER","BUCARAMANGA","Calle 19 20 46","6323351","elsamaria0378@hotmail.com","Registro por la ESP","ELSA MARIA LOPEZ DE LATORRE","ORGANIZACION AUTORIZADA","MAYOR O IGUAL A 5001 USUARIOS"
,,"Inscripción Oficio Delegada AAA",,"ACUEDUCTO EL CRUCERO DEL MUNICIPIO DE HELICONIA ANTIOQUIA","811039867-1","ANTIOQUIA","HELICONIA","PALACIO MUNICIPAL",,,"Registro por oficio","REPRESENTANTE LEGAL",,
